timestamp,label,conf,bbox
2026-01-30T12:09:16.191118,person,0.9437264800071716,"(63, 17, 640, 478)"
2026-01-30T12:09:16.337054,person,0.955311119556427,"(61, 14, 640, 478)"
2026-01-30T12:09:16.397597,person,0.9466125965118408,"(61, 14, 639, 479)"
2026-01-30T12:09:16.474411,person,0.9502807259559631,"(61, 16, 640, 479)"
2026-01-30T12:09:16.539313,person,0.9415596127510071,"(61, 15, 639, 479)"
2026-01-30T12:09:16.615018,person,0.9430902004241943,"(61, 19, 639, 478)"
2026-01-30T12:09:16.694144,person,0.937674343585968,"(60, 20, 639, 479)"
2026-01-30T12:09:16.792555,person,0.9373168349266052,"(58, 18, 634, 479)"
2026-01-30T12:09:16.879578,person,0.9364262819290161,"(57, 19, 634, 479)"
2026-01-30T12:09:16.973059,person,0.9254727363586426,"(58, 27, 617, 478)"
2026-01-30T12:09:17.051811,person,0.931876540184021,"(56, 29, 622, 478)"
2026-01-30T12:09:17.128218,person,0.9276860952377319,"(57, 36, 617, 478)"
2026-01-30T12:09:17.223423,person,0.9170345067977905,"(58, 39, 617, 478)"
2026-01-30T12:09:17.314564,person,0.9227176308631897,"(60, 46, 616, 478)"
2026-01-30T12:09:17.407602,person,0.9153301119804382,"(58, 47, 618, 478)"
2026-01-30T12:09:17.502508,person,0.8997821807861328,"(59, 47, 616, 478)"
2026-01-30T12:09:17.581476,person,0.9141168594360352,"(57, 45, 613, 478)"
2026-01-30T12:09:17.659099,person,0.9075261354446411,"(55, 49, 622, 479)"
2026-01-30T12:09:17.736357,person,0.9161403775215149,"(61, 44, 620, 478)"
2026-01-30T12:09:17.815621,person,0.9124832153320312,"(59, 43, 609, 478)"
2026-01-30T12:09:17.909337,person,0.9163250923156738,"(62, 44, 615, 478)"
2026-01-30T12:09:17.988042,person,0.9218695163726807,"(62, 44, 624, 478)"
2026-01-30T12:09:18.079241,person,0.921734094619751,"(62, 44, 624, 478)"
2026-01-30T12:09:18.174058,person,0.9245783686637878,"(62, 45, 625, 478)"
2026-01-30T12:09:18.279450,person,0.923252522945404,"(67, 47, 624, 478)"
2026-01-30T12:09:18.373422,person,0.9058317542076111,"(68, 54, 606, 478)"
2026-01-30T12:09:18.448426,person,0.9038614630699158,"(65, 57, 615, 478)"
2026-01-30T12:09:18.544517,person,0.9067240357398987,"(72, 65, 621, 478)"
2026-01-30T12:09:18.636334,person,0.9072859287261963,"(72, 66, 612, 478)"
2026-01-30T12:09:18.715472,person,0.9080210328102112,"(84, 73, 603, 479)"
2026-01-30T12:09:18.809689,person,0.9056629538536072,"(82, 75, 610, 479)"
2026-01-30T12:09:18.888376,person,0.9020077586174011,"(76, 76, 596, 479)"
2026-01-30T12:09:18.970901,person,0.9235591292381287,"(74, 86, 600, 479)"
2026-01-30T12:09:19.072220,person,0.9115326404571533,"(85, 90, 583, 479)"
2026-01-30T12:09:19.163356,person,0.914286196231842,"(76, 88, 591, 479)"
2026-01-30T12:09:19.241787,person,0.9109394550323486,"(75, 88, 585, 479)"
2026-01-30T12:09:19.319092,person,0.9188433289527893,"(75, 88, 591, 479)"
2026-01-30T12:09:19.413675,person,0.9117270112037659,"(71, 89, 593, 479)"
2026-01-30T12:09:19.511872,person,0.8970140218734741,"(67, 89, 582, 479)"
2026-01-30T12:09:19.599538,person,0.9092872738838196,"(66, 90, 585, 479)"
2026-01-30T12:09:19.691746,person,0.8973115682601929,"(63, 90, 588, 479)"
2026-01-30T12:09:19.776097,person,0.9124035239219666,"(66, 92, 579, 479)"
2026-01-30T12:09:19.817045,person,0.9128754734992981,"(65, 91, 580, 479)"
2026-01-30T12:09:19.848896,person,0.9000695943832397,"(60, 92, 586, 479)"
2026-01-30T12:09:19.870192,person,0.9096131324768066,"(62, 92, 584, 479)"
2026-01-30T12:09:19.908407,person,0.9150132536888123,"(64, 92, 581, 479)"
2026-01-30T12:09:19.931591,person,0.9218350648880005,"(62, 92, 579, 479)"
2026-01-30T12:09:19.962812,person,0.9116607308387756,"(63, 92, 576, 479)"
2026-01-30T12:09:19.995476,person,0.9067193269729614,"(63, 92, 583, 479)"
2026-01-30T12:09:20.024482,person,0.899482786655426,"(60, 93, 582, 479)"
2026-01-30T12:09:20.069196,person,0.9048806428909302,"(62, 94, 586, 479)"
2026-01-30T12:09:20.102351,person,0.9042351841926575,"(64, 94, 582, 479)"
2026-01-30T12:09:20.132386,person,0.9042351841926575,"(64, 94, 582, 479)"
2026-01-30T12:09:20.164874,person,0.9073217511177063,"(71, 94, 577, 479)"
2026-01-30T12:09:20.193443,person,0.9026049375534058,"(67, 94, 579, 479)"
2026-01-30T12:09:20.226114,person,0.9074508547782898,"(69, 94, 580, 479)"
2026-01-30T12:09:20.256130,person,0.9104418158531189,"(76, 93, 580, 478)"
2026-01-30T12:09:20.286904,person,0.9104718565940857,"(73, 94, 580, 478)"
2026-01-30T12:09:20.320747,person,0.899418830871582,"(72, 96, 575, 479)"
2026-01-30T12:09:20.350676,person,0.9015131592750549,"(65, 96, 585, 479)"
2026-01-30T12:09:20.382731,person,0.9053545594215393,"(69, 95, 581, 479)"
2026-01-30T12:09:20.419342,person,0.9066122770309448,"(68, 98, 580, 479)"
2026-01-30T12:09:20.450878,person,0.9070735573768616,"(68, 98, 579, 479)"
2026-01-30T12:09:20.501234,person,0.9045417308807373,"(68, 100, 581, 479)"
2026-01-30T12:09:20.541040,person,0.9031449556350708,"(68, 101, 576, 479)"
2026-01-30T12:09:20.566041,person,0.9031449556350708,"(68, 101, 576, 479)"
2026-01-30T12:09:20.595783,person,0.908251166343689,"(70, 102, 573, 479)"
2026-01-30T12:09:20.627009,person,0.9057586193084717,"(70, 102, 577, 479)"
2026-01-30T12:09:20.658316,person,0.9035695791244507,"(70, 103, 580, 479)"
2026-01-30T12:09:20.691050,person,0.9042770266532898,"(67, 104, 575, 479)"
2026-01-30T12:09:20.724841,person,0.8955974578857422,"(67, 105, 570, 479)"
2026-01-30T12:09:20.754605,person,0.9032749533653259,"(74, 105, 577, 479)"
2026-01-30T12:09:20.784477,person,0.9034428596496582,"(73, 106, 576, 479)"
2026-01-30T12:09:20.819043,person,0.8900094628334045,"(69, 106, 574, 479)"
2026-01-30T12:09:20.852275,person,0.88131183385849,"(67, 107, 576, 479)"
2026-01-30T12:09:20.882596,person,0.8691068291664124,"(66, 107, 574, 479)"
2026-01-30T12:09:20.932665,person,0.8748560547828674,"(66, 109, 571, 479)"
2026-01-30T12:09:20.965301,person,0.8977414965629578,"(71, 109, 571, 479)"
2026-01-30T12:09:20.986172,person,0.8977414965629578,"(71, 109, 571, 479)"
2026-01-30T12:09:21.017164,person,0.8841620087623596,"(70, 109, 574, 479)"
2026-01-30T12:09:21.054724,person,0.9044060707092285,"(70, 110, 578, 479)"
2026-01-30T12:09:21.076527,person,0.9015299081802368,"(74, 110, 577, 479)"
2026-01-30T12:09:21.109726,person,0.9114197492599487,"(78, 110, 579, 479)"
2026-01-30T12:09:21.139098,person,0.9057989716529846,"(79, 110, 580, 479)"
2026-01-30T12:09:21.170446,person,0.9069649577140808,"(81, 110, 582, 479)"
2026-01-30T12:09:21.218484,person,0.9119442701339722,"(88, 109, 583, 479)"
2026-01-30T12:09:21.252675,person,0.9120567440986633,"(88, 110, 585, 479)"
2026-01-30T12:09:21.283178,person,0.9117661714553833,"(88, 110, 581, 479)"
2026-01-30T12:09:21.331382,person,0.9117739796638489,"(90, 110, 584, 479)"
2026-01-30T12:09:21.362685,person,0.9097424745559692,"(89, 110, 586, 479)"
2026-01-30T12:09:21.384982,person,0.9097424745559692,"(89, 110, 586, 479)"
2026-01-30T12:09:21.417043,person,0.9022681713104248,"(87, 108, 585, 479)"
2026-01-30T12:09:21.445625,person,0.9080895781517029,"(89, 108, 586, 479)"
2026-01-30T12:09:21.481369,person,0.9027644991874695,"(88, 108, 589, 479)"
2026-01-30T12:09:21.507311,person,0.9056522250175476,"(91, 108, 584, 479)"
2026-01-30T12:09:21.537256,person,0.8982257843017578,"(92, 108, 593, 479)"
2026-01-30T12:09:21.571208,person,0.9078314900398254,"(91, 107, 593, 479)"
2026-01-30T12:09:21.621724,person,0.9015293717384338,"(91, 107, 600, 479)"
2026-01-30T12:09:21.651717,person,0.9051120281219482,"(88, 107, 593, 479)"
2026-01-30T12:09:21.682898,person,0.9015777707099915,"(91, 107, 598, 479)"
2026-01-30T12:09:21.715529,person,0.9061682820320129,"(90, 107, 606, 479)"
2026-01-30T12:09:21.772303,person,0.8984919190406799,"(93, 107, 610, 479)"
2026-01-30T12:09:21.804852,person,0.9088426828384399,"(94, 107, 606, 479)"
2026-01-30T12:09:21.844195,person,0.9088426828384399,"(94, 107, 606, 479)"
2026-01-30T12:09:21.866233,person,0.9045815467834473,"(93, 107, 600, 479)"
2026-01-30T12:09:21.899125,person,0.9083278179168701,"(92, 107, 591, 479)"
2026-01-30T12:09:21.928478,person,0.8957275748252869,"(93, 109, 607, 479)"
2026-01-30T12:09:21.960465,person,0.902856171131134,"(93, 108, 599, 479)"
2026-01-30T12:09:21.991396,person,0.8973948955535889,"(92, 108, 610, 479)"
2026-01-30T12:09:22.022224,person,0.9082157015800476,"(89, 107, 603, 479)"
2026-01-30T12:09:22.053039,person,0.9079828262329102,"(94, 108, 604, 479)"
2026-01-30T12:09:22.085273,person,0.90850430727005,"(92, 109, 603, 479)"
2026-01-30T12:09:22.114943,person,0.9120014905929565,"(89, 111, 607, 479)"
2026-01-30T12:09:22.149049,person,0.913083016872406,"(87, 110, 598, 479)"
2026-01-30T12:09:22.196263,person,0.9137821793556213,"(85, 110, 602, 479)"
2026-01-30T12:09:22.229595,person,0.9114093780517578,"(86, 110, 601, 479)"
2026-01-30T12:09:22.258207,person,0.9114093780517578,"(86, 110, 601, 479)"
2026-01-30T12:09:22.288058,person,0.9105693101882935,"(90, 110, 602, 479)"
2026-01-30T12:09:22.322700,person,0.9119316935539246,"(88, 109, 593, 479)"
2026-01-30T12:09:22.349816,person,0.9078555703163147,"(84, 109, 592, 479)"
2026-01-30T12:09:22.381779,person,0.9102814793586731,"(84, 110, 592, 479)"
2026-01-30T12:09:22.420116,person,0.9117735028266907,"(83, 109, 587, 479)"
2026-01-30T12:09:22.453584,person,0.9159731864929199,"(86, 109, 585, 479)"
2026-01-30T12:09:22.488465,person,0.910392701625824,"(84, 108, 587, 479)"
2026-01-30T12:09:22.520642,person,0.9054862260818481,"(86, 108, 586, 479)"
2026-01-30T12:09:22.551217,person,0.9152448177337646,"(84, 109, 584, 479)"
2026-01-30T12:09:22.582236,person,0.8996750712394714,"(78, 108, 585, 479)"
2026-01-30T12:09:22.631393,person,0.9097961783409119,"(82, 108, 580, 479)"
2026-01-30T12:09:22.663414,person,0.9147425293922424,"(83, 108, 583, 479)"
2026-01-30T12:09:22.698269,person,0.9147425293922424,"(83, 108, 583, 479)"
2026-01-30T12:09:22.722661,person,0.9117383360862732,"(84, 108, 586, 479)"
2026-01-30T12:09:22.754598,person,0.9079442024230957,"(87, 108, 586, 479)"
2026-01-30T12:09:22.785446,person,0.9125197529792786,"(86, 109, 585, 479)"
2026-01-30T12:09:22.822664,person,0.9092604517936707,"(88, 108, 590, 479)"
2026-01-30T12:09:22.853063,person,0.9051015377044678,"(85, 107, 595, 479)"
2026-01-30T12:09:22.886933,person,0.9043912887573242,"(87, 108, 596, 479)"
2026-01-30T12:09:22.928843,person,0.9026855230331421,"(86, 109, 592, 479)"
2026-01-30T12:09:22.955503,person,0.9089155793190002,"(87, 110, 582, 479)"
2026-01-30T12:09:22.987702,person,0.9114906787872314,"(87, 109, 590, 479)"
2026-01-30T12:09:23.030422,person,0.9139140844345093,"(91, 108, 602, 479)"
2026-01-30T12:09:23.066612,person,0.9171109795570374,"(90, 108, 597, 479)"
2026-01-30T12:09:23.097114,person,0.9171109795570374,"(90, 108, 597, 479)"
2026-01-30T12:09:23.127918,person,0.9161980152130127,"(96, 109, 594, 479)"
2026-01-30T12:09:23.157096,person,0.9106143712997437,"(94, 109, 603, 479)"
2026-01-30T12:09:23.188915,person,0.9106954336166382,"(93, 109, 598, 479)"
2026-01-30T12:09:23.221363,person,0.901431143283844,"(99, 108, 603, 479)"
2026-01-30T12:09:23.254617,person,0.9092369079589844,"(97, 108, 593, 479)"
2026-01-30T12:09:23.288669,person,0.9110621809959412,"(102, 108, 606, 479)"
2026-01-30T12:09:23.316650,person,0.9049090147018433,"(97, 109, 603, 479)"
2026-01-30T12:09:23.349199,person,0.9081703424453735,"(101, 109, 600, 479)"
2026-01-30T12:09:23.383550,person,0.8989797234535217,"(101, 108, 605, 479)"
2026-01-30T12:09:23.414271,person,0.9115190505981445,"(102, 108, 598, 479)"
2026-01-30T12:09:23.462381,person,0.9068862199783325,"(100, 108, 602, 479)"
2026-01-30T12:09:23.503413,person,0.9094876050949097,"(101, 108, 610, 479)"
2026-01-30T12:09:23.532082,person,0.9094876050949097,"(101, 108, 610, 479)"
2026-01-30T12:09:23.560935,person,0.9086681604385376,"(103, 108, 605, 479)"
2026-01-30T12:09:23.593106,person,0.9105803966522217,"(100, 108, 589, 479)"
2026-01-30T12:09:23.622923,person,0.9109936356544495,"(96, 108, 607, 479)"
2026-01-30T12:09:23.655207,person,0.9090315699577332,"(96, 108, 594, 479)"
2026-01-30T12:09:23.686918,person,0.9207999110221863,"(92, 109, 607, 479)"
2026-01-30T12:09:23.720178,person,0.91786128282547,"(92, 109, 603, 479)"
2026-01-30T12:09:23.751066,person,0.9080992937088013,"(90, 110, 594, 479)"
2026-01-30T12:09:23.781135,person,0.9129854440689087,"(91, 110, 596, 479)"
2026-01-30T12:09:23.814161,person,0.918213427066803,"(83, 109, 601, 479)"
2026-01-30T12:09:23.851290,person,0.9170466661453247,"(88, 109, 603, 479)"
2026-01-30T12:09:23.895838,person,0.9102142453193665,"(88, 109, 592, 479)"
2026-01-30T12:09:23.927750,person,0.9118696451187134,"(86, 109, 592, 479)"
